defi_url,request_method,request_url,request_headers,request_post_data,request_resource_type
about:blank,GET,https://inverse.finance/vote,"{""upgrade-insecure-requests"":""1"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""EA5C32433A19076BD682381548CC5766"",""accept"":""text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8""}",,document
about:blank,GET,https://www.inverse.finance/vote,"{""upgrade-insecure-requests"":""1"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""EA5C32433A19076BD682381548CC5766"",""accept"":""text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8""}",,document
https://www.inverse.finance/vote,GET,https://www.inverse.finance/_next/static/css/a80266eff62a2ad46dae.css,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""EA5C32433A19076BD682381548CC5766"",""accept"":""text/css,*/*;q=0.1"",""referer"":""https://www.inverse.finance/vote""}",,stylesheet
https://www.inverse.finance/vote,GET,https://www.inverse.finance/_next/static/chunks/framework-2f612445bd50b211f15a.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""EA5C32433A19076BD682381548CC5766"",""accept"":""*/*"",""referer"":""https://www.inverse.finance/vote""}",,script
https://www.inverse.finance/vote,GET,https://www.inverse.finance/_next/static/chunks/webpack-277c75ec70a3d22a400d.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""EA5C32433A19076BD682381548CC5766"",""accept"":""*/*"",""referer"":""https://www.inverse.finance/vote""}",,script
https://www.inverse.finance/vote,GET,https://www.inverse.finance/_next/static/chunks/main-c8b51cc0a92c3008cd1b.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""EA5C32433A19076BD682381548CC5766"",""accept"":""*/*"",""referer"":""https://www.inverse.finance/vote""}",,script
https://www.inverse.finance/vote,GET,https://www.inverse.finance/_next/static/chunks/pages/_app-2cd7f02ca279807aebec.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""EA5C32433A19076BD682381548CC5766"",""accept"":""*/*"",""referer"":""https://www.inverse.finance/vote""}",,script
https://www.inverse.finance/vote,GET,https://www.inverse.finance/_next/static/chunks/pages/_error-6dc97a68f6d8f2060458.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""EA5C32433A19076BD682381548CC5766"",""accept"":""*/*"",""referer"":""https://www.inverse.finance/vote""}",,script
https://www.inverse.finance/vote,GET,https://www.inverse.finance/_next/static/IF5vrYgxC0qunnRSRMwxA/_buildManifest.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""EA5C32433A19076BD682381548CC5766"",""accept"":""*/*"",""referer"":""https://www.inverse.finance/vote""}",,script
https://www.inverse.finance/vote,GET,https://www.inverse.finance/_next/static/IF5vrYgxC0qunnRSRMwxA/_ssgManifest.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""EA5C32433A19076BD682381548CC5766"",""accept"":""*/*"",""referer"":""https://www.inverse.finance/vote""}",,script
https://www.inverse.finance/vote,GET,https://www.inverse.finance/_next/static/media/inter-latin-400-normal.351b7924dd5e53fb9e5ec938459741d2.woff2,"{""origin"":""https://www.inverse.finance"",""x-devtools-emulate-network-conditions-client-id"":""EA5C32433A19076BD682381548CC5766"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""accept"":""*/*"",""referer"":""https://www.inverse.finance/_next/static/css/a80266eff62a2ad46dae.css""}",,font
