defi_url,request_method,request_url,request_headers,request_post_data,request_resource_type
about:blank,GET,https://www.akropolis.io/app/home,"{""upgrade-insecure-requests"":""1"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""1BA49EE83B369999FA8075DE70C00100"",""accept"":""text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8""}",,document
https://www.akropolis.io/app/home,GET,https://www.akropolis.io/_next/static/chunks/2672-24e0962c2872fea1f0b1.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""1BA49EE83B369999FA8075DE70C00100"",""accept"":""*/*"",""referer"":""https://www.akropolis.io/app/home""}",,script
https://www.akropolis.io/app/home,GET,https://www.akropolis.io/_next/static/chunks/145-50262f2de1718b142240.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""1BA49EE83B369999FA8075DE70C00100"",""accept"":""*/*"",""referer"":""https://www.akropolis.io/app/home""}",,script
https://www.akropolis.io/app/home,GET,https://www.akropolis.io/_next/static/chunks/7346-c92466dc7e0be6a131ea.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""1BA49EE83B369999FA8075DE70C00100"",""accept"":""*/*"",""referer"":""https://www.akropolis.io/app/home""}",,script
https://www.akropolis.io/app/home,GET,https://www.akropolis.io/_next/static/chunks/1640-7595c0a9f7d196181ee5.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""1BA49EE83B369999FA8075DE70C00100"",""accept"":""*/*"",""referer"":""https://www.akropolis.io/app/home""}",,script
https://www.akropolis.io/app/home,GET,https://www.akropolis.io/_next/static/chunks/2385-a8e01b768f3085a22ed2.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""1BA49EE83B369999FA8075DE70C00100"",""accept"":""*/*"",""referer"":""https://www.akropolis.io/app/home""}",,script
https://www.akropolis.io/app/home,GET,https://www.akropolis.io/_next/static/chunks/7140-a14f0cbf9499f80c6900.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""1BA49EE83B369999FA8075DE70C00100"",""accept"":""*/*"",""referer"":""https://www.akropolis.io/app/home""}",,script
https://www.akropolis.io/app/home,GET,https://www.akropolis.io/_next/static/chunks/6919-d67386de2a6849e6f3dd.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""1BA49EE83B369999FA8075DE70C00100"",""accept"":""*/*"",""referer"":""https://www.akropolis.io/app/home""}",,script
https://www.akropolis.io/app/home,GET,https://www.akropolis.io/_next/static/chunks/9799-cd812955b2da2550b61a.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""1BA49EE83B369999FA8075DE70C00100"",""accept"":""*/*"",""referer"":""https://www.akropolis.io/app/home""}",,script
https://www.akropolis.io/app/home,GET,https://www.akropolis.io/_next/static/chunks/pages/app/home-213fd71bb16ac66d672c.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""1BA49EE83B369999FA8075DE70C00100"",""accept"":""*/*"",""referer"":""https://www.akropolis.io/app/home""}",,script
https://www.akropolis.io/app/home,GET,https://www.akropolis.io/_next/static/chunks/2413-30a60935d27954a9df6e.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""1BA49EE83B369999FA8075DE70C00100"",""accept"":""*/*"",""referer"":""https://www.akropolis.io/app/home""}",,script
https://www.akropolis.io/app/home,GET,https://www.akropolis.io/_next/static/lw6qaBLrh_NxpJCWGCW0y/_buildManifest.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""1BA49EE83B369999FA8075DE70C00100"",""accept"":""*/*"",""referer"":""https://www.akropolis.io/app/home""}",,script
https://www.akropolis.io/app/home,GET,https://www.akropolis.io/_next/static/lw6qaBLrh_NxpJCWGCW0y/_ssgManifest.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""1BA49EE83B369999FA8075DE70C00100"",""accept"":""*/*"",""referer"":""https://www.akropolis.io/app/home""}",,script
https://www.akropolis.io/app/home,GET,https://www.akropolis.io/_next/static/chunks/22961ff3.eed4bcdee318d9c2b69a.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""1BA49EE83B369999FA8075DE70C00100"",""accept"":""*/*"",""referer"":""https://www.akropolis.io/app/home""}",,script
https://www.akropolis.io/app/home,GET,https://www.akropolis.io/_next/static/chunks/a3e8c0f6.8185e9eee4396a9356eb.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""1BA49EE83B369999FA8075DE70C00100"",""accept"":""*/*"",""referer"":""https://www.akropolis.io/app/home""}",,script
https://www.akropolis.io/app/home,GET,https://www.akropolis.io/_next/static/chunks/06e0d7f0.8db166e006687b91c85d.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""1BA49EE83B369999FA8075DE70C00100"",""accept"":""*/*"",""referer"":""https://www.akropolis.io/app/home""}",,script
https://www.akropolis.io/app/home,GET,https://www.akropolis.io/_next/static/chunks/9847.fa9c6be42c8efdc7b420.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""1BA49EE83B369999FA8075DE70C00100"",""accept"":""*/*"",""referer"":""https://www.akropolis.io/app/home""}",,script
https://www.akropolis.io/app/home,GET,https://www.akropolis.io/_next/static/chunks/2319.9120dc38c3c3f14bd154.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""1BA49EE83B369999FA8075DE70C00100"",""accept"":""*/*"",""referer"":""https://www.akropolis.io/app/home""}",,script
