defi_url,request_method,request_url,request_headers,request_post_data,request_resource_type
about:blank,GET,https://app.uniswap.org/,"{""upgrade-insecure-requests"":""1"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""15CBD01B15F5D539379DEAC311F91546"",""accept"":""text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8""}",,document
https://app.uniswap.org/,GET,https://app.uniswap.org/static/css/4.2efb9cd0.chunk.css,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""15CBD01B15F5D539379DEAC311F91546"",""accept"":""text/css,*/*;q=0.1"",""referer"":""https://app.uniswap.org/""}",,stylesheet
https://app.uniswap.org/,GET,https://app.uniswap.org/static/js/4.bc934aa1.chunk.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""15CBD01B15F5D539379DEAC311F91546"",""accept"":""*/*"",""referer"":""https://app.uniswap.org/""}",,script
https://app.uniswap.org/,GET,https://app.uniswap.org/static/js/main.09081ff5.chunk.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""15CBD01B15F5D539379DEAC311F91546"",""accept"":""*/*"",""referer"":""https://app.uniswap.org/""}",,script
https://app.uniswap.org/,GET,https://app.uniswap.org/static/media/Inter-roman.var.b65534c5.woff2,"{""origin"":""https://app.uniswap.org"",""x-devtools-emulate-network-conditions-client-id"":""15CBD01B15F5D539379DEAC311F91546"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""accept"":""*/*"",""referer"":""https://app.uniswap.org/static/css/4.2efb9cd0.chunk.css""}",,font
