defi_url,request_method,request_url,request_headers,request_post_data,request_resource_type
about:blank,GET,https://app.kava.io/,"{""upgrade-insecure-requests"":""1"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""E8CB35ABE4056AF6144AA5BDFF5FC7A5"",""accept"":""text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8""}",,document
https://app.kava.io/,GET,https://app.kava.io/static/css/main.aaf6c0c9.chunk.css,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""E8CB35ABE4056AF6144AA5BDFF5FC7A5"",""accept"":""text/css,*/*;q=0.1"",""referer"":""https://app.kava.io/""}",,stylesheet
https://app.kava.io/,GET,https://app.kava.io/static/js/2.b37d1a72.chunk.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""E8CB35ABE4056AF6144AA5BDFF5FC7A5"",""accept"":""*/*"",""referer"":""https://app.kava.io/""}",,script
https://app.kava.io/,GET,https://app.kava.io/static/js/main.4ca20fa1.chunk.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""E8CB35ABE4056AF6144AA5BDFF5FC7A5"",""accept"":""*/*"",""referer"":""https://app.kava.io/""}",,script
https://app.kava.io/,GET,https://www.google-analytics.com/analytics.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""E8CB35ABE4056AF6144AA5BDFF5FC7A5"",""accept"":""*/*"",""referer"":""https://app.kava.io/""}",,script
https://app.kava.io/,GET,https://api.kava.io/node_info,"{""origin"":""https://app.kava.io"",""x-devtools-emulate-network-conditions-client-id"":""E8CB35ABE4056AF6144AA5BDFF5FC7A5"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""accept"":""*/*"",""referer"":""https://app.kava.io/""}",,xhr
